"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Miguel Angel Lopez","Spain",24,1.81,70,"M",1988-03-07,"Murcia (ESP)",0,0,0,0,"Athletics","Men's 20km Race Walk"
"Roberto Lopez","El Salvador",19,1.85,79,"M",NA,"",0,0,0,0,"Rowing","Men's Single Sculls"
"Ruben Lopez","Spain",21,1.7,NA,"M",NA,"Sabadell (ESP)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Sandra Lopez","Mexico",28,1.54,47,"F",NA,"TLAXCALA (MEX)",0,0,0,0,"Athletics","Women's 5000m"
"Steven Lopez","United States of America",33,1.91,NA,"M",1978-09-11,"New York (USA)",0,0,0,0,"Taekwondo","Men's -80kg"
"Livan Lopez Azcuy","Cuba",30,NA,NA,"M",NA,"Pinar del Rio (CUB)",0,0,0,0,"Wrestling","Men's 66kg Freestyle"
"Jazmin Lopez Becker","Argentina",20,1.74,60,"F",1992-05-06,"Cordoba (ARG)",0,0,0,0,"Sailing","Women's RS-X"
"Christian Alberto Lopez Bobadilla","Guatemala",28,1.75,132,"M",NA,"COATEPEQUE QUETZALTENANGO (GUA)",0,0,0,0,"Weightliftng","Men's +105kg"
"Mijain Lopez Nunez","Cuba",29,NA,NA,"M",NA,"Pinar del Rio (CUB)",0,0,0,0,"Wrestling","Men's 120kg Greco-Roman"
"Daniel Lopez Pinedo","Spain",32,1.91,87,"M",NA,"Barcelona (ESP)",0,0,0,0,"Water Polo","Men's Water Polo"
"Carola Malvina Lopez Rodriguez","Argentina",30,1.64,NA,"F",NA,"Cordoba (ARG)",0,0,0,0,"Taekwondo","Women's -49kg"
"Peter Lopez Santos","Peru",30,1.78,NA,"M",NA,"Los Angeles (USA)",0,0,0,0,"Taekwondo","Men's -68kg"
"Laura Lopez Ventosa","Spain",24,1.7,63,"F",NA,"Madrid (ESP)",0,0,0,0,"Water Polo","Women's Water Polo"
"Pascal Loretan","Switzerland",23,1.68,66,"M",NA,"LEUKERBAD (SUI)",0,0,0,0,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle Prone"
"Khatuna Lorig","United States of America",38,1.7,64,"F",1974-01-01,"Tbilisi",0,0,0,0,"Archery","Women's Individual, Women's Team"
"Tamas Lorincz","Hungary",25,1.73,66,"M",NA,"CEGLED (HUN)",0,0,0,0,"Wrestling","Men's 66kg Greco-Roman"
"Venio Losert","Croatia",36,1.91,92,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Ivan Losev","Ukraine",26,1.77,70,"M",NA,"Kyiv Region (UKR)",0,0,0,0,"Athletics","Men's 20km Race Walk"
"Aly Lotfi","Egypt",22,1.87,79,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Paul Lotman","United States of America",26,2.01,92,"M",1985-03-11,"Lakewood (USA)",0,0,0,0,"Volleyball","Men's Volleyball"
"Marion Lotout","France",22,1.65,50,"F",NA,"Saint Brieuc (FRA)",0,0,0,0,"Athletics","Women's Pole Vault"
"Mohamed Riad Louafi","Algeria",24,1.78,84,"M",NA,"HUSSEIN DEY (TUN)",0,0,0,0,"Wrestling","Men's 84kg Freestyle"
"Olive Loughnane","Ireland",36,1.68,53,"F",NA,"Cork (IRL)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Marco Loughran","Great Britain",23,1.86,75,"M",NA,"Wimbledon (GBR)",0,0,0,0,"Swimming","Men's 200m Backstroke"
"Evdokia Loukagkou","Greece",16,1.77,NA,"F",NA,"Thessaloniki (GRE)",0,0,0,0,"Gymnstcs-Rhy","Group All-Around"
"Christina Loukas","United States of America",26,1.63,61,"F",NA,"Chicago (USA)",0,0,0,0,"Diving","Women's 3m Springboard"
"Constantine Louloudis","Great Britain",20,1.9,94,"M",NA,"",0,0,1,1,"Rowing","Men's Eight"
"Gideon Louw","South Africa",24,1.94,93,"M",1987-04-09,"Pretoria (RSA)",0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
"Kylie Louw","South Africa",23,1.62,56,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Lance Louw","South Africa",26,1.78,77,"M",1986-12-05,"",0,0,0,0,"Hockey","Men's Hockey"
"Krisztian Lovassy","Hungary",24,1.8,71,"M",NA,"Budapest (HUN)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Kevin Love","United States of America",23,2.08,118,"M",1988-07-09,"",0,0,0,0,"Basketball","Men's Basketball"
"Rach Lovell","Australia",34,1.69,61,"F",NA,"",0,0,0,0,"Canoe Sprint","Women's Kayak Four (K4) 500m"
"Ivana Lovric","Croatia",27,1.73,70,"F",1984-01-09,"",0,0,0,0,"Handball","Women's Handball"
"Dan Lovrovic","Croatia",27,1.88,95,"M",1984-07-12,"Rijeka (CRO)",0,0,0,0,"Sailing","Men's Star"
"Marin Lovrovic","Croatia",39,1.87,101,"M",NA,"Rijeka (CRO)",0,0,0,0,"Sailing","Men's Star"
"Natalia Lovtcova","Russian Federation",24,1.77,70,"F",NA,"Kuybyshev Region (RUS)",0,0,0,0,"Swimming","Women's 4x100m Freestyle Relay"
"Hunter Lowden","Canada",30,1.85,80,"M",1982-10-04,"North Vancouver (CAN)",0,0,0,0,"Sailing","Men's 49er"
"Chaunte Lowe","United States of America",28,1.75,60,"F",1984-12-01,"Templeton (USA)",0,0,0,0,"Athletics","Women's High Jump"
"Jemma Lowe","Great Britain",22,1.71,58,"F",NA,"HARTLEPOOL (GBR)",0,0,0,0,"Swimming","Women's 200m Butterfly, Women's 4x100m Medley Relay"
"Jill Loyden","United States of America",27,1.78,77,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Antony Lozano","Honduras",19,1.7,75,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Chunlong Lu","People's Republic of China",23,1.7,NA,"M",1989-08-04,"Jiangsu (CHN)",0,0,1,1,"Trampoline","Men's Trampoline"
"Haojie Lu","People's Republic of China",22,1.75,76,"M",1990-03-08,"Jiangsu",0,1,0,1,"Weightliftng","Men's 77kg"
"Huihui Lu","People's Republic of China",23,1.71,68,"F",NA,"HENAN (CHN)",0,0,0,0,"Athletics","Women's Javelin Throw"
"Xiaojun Lu","People's Republic of China",28,1.72,77,"M",NA,"Hubei",1,0,0,1,"Weightliftng","Men's 77kg"
"Xiuzhi Lu","People's Republic of China",18,1.56,45,"F",NA,"Anhui (CHN)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Yen-Hsun Lu","Taipei (Chinese Taipei)",28,1.8,75,"M",NA,"",0,0,0,0,"Tennis","Men's Singles"
"Ying Lu","People's Republic of China",23,1.75,62,"F",NA,"Shanghai (CHN)",0,1,0,1,"Swimming","Women's 100m Butterfly, Women's 4x100m Medley Relay"
"Yong Lu","People's Republic of China",26,1.75,85,"M",1986-01-01,"Guangxi",0,0,0,0,"Weightliftng","Men's 85kg"
"Zhiwu Lu","People's Republic of China",23,1.82,76,"M",NA,"Zhejiang (CHN)",0,0,1,1,"Swimming","Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
"Eva Lubbers","Netherlands",20,1.78,65,"F",1992-06-02,"Uithoorn (NED)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"Bill Lucas","Great Britain",24,1.99,100,"M",NA,"",0,0,0,0,"Rowing","Men's Double Sculls"
"Dakota Lucas","New Zealand",21,1.7,68,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Josanne Lucas","Trinidad and Tobago",28,1.75,58,"F",NA,"Scarborough (TRI)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"Victoria Lucass","Great Britain",21,1.7,NA,"F",1990-11-09,"FRIMLEY (GBR)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Joao Lucca","Brazil",22,NA,NA,"M",1990-06-01,"Rio De Janeiro (BRA)",0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay"
"Emmanuel Lucenti","Argentina",27,1.8,81,"M",NA,"Tucuman (ARG)",0,0,0,0,"Judo","Men's -81kg"
"Rosario Luchetti","Argentina",28,1.61,56,"F",1984-04-06,"Buenos Aires (ARG)",0,0,0,0,"Hockey","Women's Hockey"
"Ion Luchianov","Republic of Moldova",31,1.78,72,"M",NA,"Criuleni (MDA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"Samantha Lucie-Smith","New Zealand",20,1.75,65,"F",NA,"Wellington (NZL)",0,0,0,0,"Swimming","Women's 4x200m Freestyle Relay"
"Mervyn Luckwell","Great Britain",27,1.91,104,"M",NA,"MILTON KEYNES (GBR)",0,0,0,0,"Athletics","Men's Javelin Throw"
"Soren Ludolph","Germany",24,1.82,68,"M",NA,"LUNEBURG (GER)",0,0,0,0,"Athletics","Men's 800m"
"Dorothy Ludwig","Canada",33,1.53,51,"F",NA,"RENFREW (CAN)",0,0,0,0,"Shooting","Women's 10m Air Pistol"
"Laura Ludwig","Germany",26,1.81,70,"F",NA,"",0,0,0,0,"BeachVllybll","Women's Beach Volleyball"
"Joseph Andy Lui","Tonga",20,NA,NA,"M",1992-07-07,"Tofoa (TGA)",0,0,0,0,"Athletics","Men's 100m"
"Elia Luini","Italy",33,1.83,72,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Double Sculls"
"Vincent Luis","France",23,1.77,65,"M",NA,"VESOUL (FRA)",0,0,0,0,"Triathlon","Men's Triathlon"
"Tintu Luka","India",23,NA,NA,"F",NA,"IRITTY (IND)",0,0,0,0,"Athletics","Women's 800m"
"Petya Lukanova","Bulgaria",43,1.64,62,"F",NA,"PAZARDZHIK (BUL)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"Kanstantsin Lukashyk","Belarus",36,1.76,75,"M",NA,"Grodno (BLR)",0,0,0,0,"Shooting","Men's 50m Pistol, Men's 10m Air Pistol"
"Evgeniy Lukyanenko","Russian Federation",27,1.89,78,"M",NA,"KRASNODAR REGION (RUS)",0,0,0,0,"Athletics","Men's Pole Vault"
"Anolyn Lulu","Vanuatu",33,1.57,62,"F",1979-03-01,"MAEWO (VAN)",0,0,0,0,"Table Tennis","Women's Singles"
"Fernando Lumain","Indonesia",22,1.83,76,"M",NA,"TONDANO (INA)",0,0,0,0,"Athletics","Men's 100m"
"Kristine Lunde-Borgersen","Norway",32,1.83,NA,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Sofia Lundgren","Sweden",29,1.72,70,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Jens Lundqvist","Sweden",32,1.81,85,"M",NA,"Staffan (SWE)",0,0,0,0,"Table Tennis","Men's Team"
"Therese Lundqvist","Sweden",21,1.71,60,"F",NA,"BORJE (SWE)",0,0,0,0,"Shooting","Women's Skeet"
"Jamila Lunkuse","Uganda",15,1.53,60,"F",1997-01-01,"MENGO (UGA)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"Xi Luo","People's Republic of China",24,1.66,NA,"F",NA,"Hubei (CHN)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Xiaojuan Luo","People's Republic of China",28,1.7,63,"F",1984-12-06,"",0,0,0,0,"Fencing","Women's Individual Epee, Women's Team Epee"
"Yutong Luo","People's Republic of China",26,1.65,62,"M",1985-06-10,"Guangdong (CHN)",1,0,0,1,"Diving","Men's Synchronised 3m Springboard"
"Camelia Lupascu","Romania",26,1.84,74,"F",NA,"",0,0,0,0,"Rowing","Women's Eight"
"Yurileidys Lupetey Cobas","Cuba",31,NA,56,"F",1981-06-05,"Holguin",0,0,0,0,"Judo","Women's -57kg"
"Daniele Lupo","Italy",21,1.94,77,"M",1991-06-05,"",0,0,0,0,"BeachVllybll","Men's Beach Volleyball"
"Nataliia Lupu","Ukraine",24,1.72,60,"F",1987-04-11,"CHERNIVTSY REGION (UKR)",0,0,0,0,"Athletics","Women's 800m"
"Thomas Lurz","Germany",32,1.83,76,"M",NA,"Wurzburg (GER)",0,0,0,0,"Swimming","Men's 10km Marathon"
"Annie Lush","Great Britain",32,1.78,77,"F",1980-11-04,"Poole (GBR)",0,0,0,0,"Sailing","Women's Elliott 6m"
"Siphiwe Lusizi","South Africa",23,1.78,NA,"M",1989-08-05,"MDANTSANE (RSA)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Hrafnhildur Luthersdottir","Iceland",21,NA,NA,"F",1991-02-08,"Reykjavik (ISL)",0,0,0,0,"Swimming","Women's 200m Breaststroke, Women's 4x100m Medley Relay"
"Otgonbayar Luvsanlundeg","Mongolia",30,1.52,44,"F",NA,"UMNUGOBI PROVINCE (MGL)",0,0,0,0,"Athletics","Women's Marathon"
"Maxime Luycx","Belgium",29,1.82,74,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Beth Lygoe","Saint Lucia",30,1.8,70,"F",NA,"ENFIELD HERTFORDSHIRE (GBR)",0,0,0,0,"Sailing","Women's Laser Radial"
"Oleg Lykov","Ukraine",39,2.02,105,"M",1973-01-08,"",0,0,0,0,"Rowing","Men's Eight"
"Adrienne Lyle","United States of America",27,1.8,75,"F",1985-02-01,"Coupeville (USA)",0,0,0,0,"Equestrian","Individual Dressage, WIZARD"
"Marianna Lymperta","Greece",33,1.67,53,"F",NA,"CHOLARGOS (GRE)",0,0,0,0,"Swimming","Women's 10km Marathon"
"Maksim Lynsha","Belarus",27,1.9,80,"M",1985-06-04,"GANTSEVICHI (BLR)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Tatyana Lysenko","Russian Federation",28,1.86,80,"F",1983-09-10,"Rostov Region (RUS)",0,0,0,0,"Athletics","Women's Hammer Throw"
"Pavel Lyzhyn","Belarus",31,1.89,121,"M",NA,"VORONOK (RUS)",0,0,0,0,"Athletics","Men's Shot Put"
"Laia Pons Arenas","Spain",19,1.68,NA,"F",NA,"GRANOLLERS (ESP)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Lapua Lapua","Tuvalu",21,1.4,62,"M",NA,"NANUMAGA",0,0,0,0,"Weightliftng","Men's 62kg"
"Lars Hartig","Germany",21,1.9,72,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Double Sculls"
"Lashawn Merritt","United States of America",26,1.88,84,"M",NA,"Portsmouth (USA)",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"Laszlo Csoknyai","Hungary",24,1.72,81,"M",NA,"DUNAUJVAROS (HUN)",0,0,0,0,"Judo","Men's -81kg"
"Laura del Colle","Argentina",29,1.77,60,"F",NA,"ROSARIO",0,0,0,0,"Hockey","Women's Hockey"
"Laurence Halsted","Great Britain",28,1.83,81,"M",1984-05-22,"",0,0,0,0,"Fencing","Men's Team Foil"
"Lea Davison","United States of America",29,1.68,55,"F",NA,"Syracuse (USA)",0,0,0,0,"Cyclng-MntnB","Women's Cross-country"
"Leandro Gelpi","Uruguay",21,1.88,89,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Lee Kiefer","United States of America",18,1.63,49,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Foil, Women's Team Foil"
"Lee Merrien","Great Britain",33,1.82,61,"M",NA,"St Andrews (GBR)",0,0,0,0,"Athletics","Men's Marathon"
"Levi Heimans","Netherlands",27,1.91,82,"M",NA,"DIEMEN (NED)",0,0,0,0,"Cycling-Trck","Men's Team Pursuit"
"Li Du","People's Republic of China",30,1.7,56,"F",1982-05-03,"Shandong (CHN)",0,0,0,0,"Shooting","Women's 50m Rifle 3 Positions"
"Lidija Horvat","Croatia",30,1.84,74,"F",1982-05-05,"",0,0,0,0,"Handball","Women's Handball"
"Line Jensen","Denmark",31,1.78,62,"F",NA,"SILKEBORG (DEN)",0,0,0,0,"Triathlon","Women's Triathlon"
"Lisa Kearney","Ireland",23,1.57,48,"F",NA,"BELFAST (GBR)",0,0,0,0,"Judo","Women's -48kg"
"Lishan Dula","Bahrain",25,1.64,44,"F",NA,"ETHIOPIA (ETH)",0,0,0,0,"Athletics","Women's Marathon"
"Lissa Labiche","Seychelles",19,1.72,57,"F",NA,"Victoria (SEY)",0,0,0,0,"Athletics","Women's High Jump"
"Liviu Dumitrescu-Lazar","Romania",24,1.75,75,"M",1988-10-05,"",0,0,0,0,"Canoe Sprint","Men's Canoe Double (C2) 1000m"
"Lok Yan Poon","Hong Kong, China",20,1.69,61,"F",NA,"Hong Kong",0,0,0,0,"Badminton","Women's Doubles"
"Lotta Harrysson","Sweden",45,1.72,60,"F",NA,"ANGERED (SWE)",0,0,0,0,"Sailing","Women's Elliott 6m"
"Louise Hazel","Great Britain",26,1.67,58,"F",1985-06-10,"Southwark (GBR)",0,0,0,0,"Athletics","Women's Heptathlon"
"Lucie Hradecka","Czech Republic",27,1.77,72,"F",NA,"",0,0,0,0,"Tennis","Women's Doubles, Mixed Doubles"
"Lucy Hall","Great Britain",20,1.78,60,"F",NA,"Leicester (GBR)",0,0,0,0,"Triathlon","Women's Triathlon"
"Luis Alberto Marco","Spain",25,1.84,70,"M",NA,"Sevilla (ESP)",0,0,0,0,"Athletics","Men's 800m"
"Luisa Kiala","Angola",30,1.79,62,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Lukas Krpalek","Czech Republic",21,1.98,100,"M",NA,"JIHLAVA (CZE)",0,0,0,0,"Judo","Men's -100kg"
"Lukas Lacko","Slovakia",24,1.86,83,"M",1987-03-11,"",0,0,0,0,"Tennis","Men's Singles, Men's Doubles"
"Lukasz Kubot","Poland",30,1.91,90,"M",NA,"",0,0,0,0,"Tennis","Men's Singles"
"Luke Hall","Swaziland",23,1.81,85,"M",NA,"HHOHHO (SWZ)",0,0,0,0,"Swimming","Men's 50m Freestyle"
"Luke Patience","Great Britain",25,1.67,59,"M",1986-04-08,"Aberdeen (GBR)",0,0,0,0,"Sailing","Men's 470"
"Lyndal Oatley","Australia",32,1.76,61,"F",NA,"Sydney (AUS)",0,0,0,0,"Equestrian","Individual Dressage, Team Dressage, SANDRO BOY"
"Marouane M'rabet","Tunisia",27,1.84,81,"M",1985-05-06,"KELIBIA (TUN)",0,0,0,0,"Volleyball","Men's Volleyball"
"Huanhuan Ma","People's Republic of China",22,1.77,69,"F",NA,"Guangxi (CHN)",0,0,0,0,"Water Polo","Women's Water Polo"
"Jianfei Ma","People's Republic of China",28,1.85,77,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Foil, Men's Team Foil"
"Jin Ma","People's Republic of China",24,1.65,61,"F",1988-07-05,"Jiangsu",0,1,0,1,"Badminton","Mixed Doubles"
"Long Ma","People's Republic of China",23,1.75,72,"M",NA,"Liaoning",0,0,0,0,"Table Tennis","Men's Team"
"Wei Ma","People's Republic of China",25,1.72,62,"F",NA,"Jiangsu (CHN)",0,0,0,0,"Hockey","Women's Hockey"
"Xuejun Ma","People's Republic of China",27,1.84,100,"F",NA,"Shandong (CHN)",0,0,0,0,"Athletics","Women's Discus Throw"
"Yibo Ma","People's Republic of China",31,1.74,70,"F",1980-05-08,"Liaoning (CHN)",0,0,0,0,"Hockey","Women's Hockey"
"Yunwen Ma","People's Republic of China",25,1.89,76,"F",NA,"Shanghai (CHN)",0,0,0,0,"Volleyball","Women's Volleyball"
"Zengyu Ma","People's Republic of China",29,1.83,79,"F",1983-07-05,"",0,0,0,0,"Basketball","Women's Basketball"
"Lebogang Mabatle","South Africa",20,1.6,51,"F",1992-03-03,"",0,0,0,0,"Football","Women's Football"
"Sofia Maccari","Argentina",28,1.65,66,"F",1984-03-07,"Buenos Aires (ARG)",0,0,0,0,"Hockey","Women's Hockey"
"Bostjan Macek","Slovenia",40,1.74,118,"M",NA,"MURSKA SOBOTA (SLO)",0,0,0,0,"Shooting","Men's Trap"
"Eve Macfarlane","New Zealand",19,1.84,78,"F",NA,"",0,0,0,0,"Rowing","Women's Quadruple Sculls"
"Kate Macgregor","Great Britain",21,1.58,60,"F",1991-12-01,"Poole (GBR)",0,0,0,0,"Sailing","Women's Elliott 6m"
"Lucy Macgregor","Great Britain",25,1.58,63,"F",NA,"Poole (GBR)",0,0,0,0,"Sailing","Women's Elliott 6m"
"Carlos Machado","Spain",32,1.74,70,"M",NA,"PRIEGO DE CORDOBA",0,0,0,0,"Table Tennis","Men's Singles"
"Marcelo Machado","Brazil",37,2,95,"M",1975-12-04,"",0,0,0,0,"Basketball","Men's Basketball"
"Gia Machavariani","Georgia",27,1.7,105,"M",NA,"KHARAGAULI (GEO)",0,0,0,0,"Weightliftng","Men's 105kg"
"Julia Machtig","Germany",26,1.87,80,"F",1986-01-01,"Rostock (GER)",0,0,0,0,"Athletics","Women's Heptathlon"
"Isabel Macias","Spain",27,1.65,52,"F",1984-11-08,"Zaragoza (ESP)",0,0,0,0,"Athletics","Women's 1500m"
"Miraildes Maciel Mota","Brazil",34,1.62,55,"F",1978-03-03,"",0,0,0,0,"Football","Women's Football"
"Jonas Maciulis","Lithuania",27,1.98,98,"M",1985-10-02,"",0,0,0,0,"Basketball","Men's Basketball"
"Iain Mackay","Great Britain",27,1.8,75,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Trevorvano Mackey","Bahamas",20,NA,NA,"M",1992-05-01,"NEW PROVIDENCE (BAH)",0,0,0,0,"Athletics","Men's 200m"
"Brittany Maclean","Canada",18,1.73,70,"F",1994-03-03,"MISSISSAUGA (CAN)",0,0,0,0,"Swimming","Women's 400m Freestyle, Women's 4x200m Freestyle Relay"
"Heather Maclean","Canada",20,1.83,70,"F",1992-01-04,"MISSISSAUGA (CAN)",0,0,0,0,"Swimming","Women's 4x100m Freestyle Relay"
"Rosannagh Maclennan","Canada",23,1.58,NA,"F",NA,"Toronto (CAN)",0,0,0,0,"Trampoline","Women's Trampoline"
"Hannah Macleod","Great Britain",28,1.72,67,"F",1984-09-06,"Boston (GBR)",0,0,0,0,"Hockey","Women's Hockey"
"Kathleen Macleod","Australia",25,1.68,61,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Bogdan Mada","Romania",23,1.82,91,"M",NA,"",0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 200m"
"Natalia Madaj","Poland",24,1.75,70,"F",NA,"",0,0,0,0,"Rowing","Women's Quadruple Sculls"
"Norbert Madaras","Hungary",32,1.91,91,"M",1979-01-12,"",0,0,0,0,"Water Polo","Men's Water Polo"
"Tamas Madarasz","Hungary",25,1.9,90,"M",NA,"DEBRECEN (HUN)",0,0,0,0,"Judo","Men's -90kg"
"Viktoria Madarasz","Hungary",27,1.55,45,"F",1985-12-05,"Budapest (HUN)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Elizabeth Madden","United States of America",48,1.68,62,"F",NA,"Milwaukee (USA)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, VIA VOLO"
"Levy Madinda","Gabon",20,1.67,67,"M",1992-11-06,"",0,0,0,0,"Football","Men's Football"
"Tianna Madison","United States of America",26,1.68,59,"F",NA,"Elyria (USA)",0,0,0,0,"Athletics","Women's 100m, Women's 4 x 100m Relay"
"Alejandro Madorno","Argentina",40,1.83,73,"M",1971-12-12,"Buenos Aires (ARG)",0,0,0,0,"Equestrian","Individual Jumping, MILANO DE FLORE"
"Lloyd Madsen","South Africa",26,1.75,76,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Mark Overgaard Madsen","Denmark",27,1.77,74,"M",NA,"NYKOBING F (DEN)",0,0,0,0,"Wrestling","Men's 74kg Greco-Roman"
"Kayono Maeda","Japan",21,1.65,63,"F",NA,"KIKUCHI (JPN)",0,0,0,0,"Cycling-Trck","Women's Sprint"
"Miyuki Maeda","Japan",26,1.69,61,"F",NA,"KIRISHIMA",0,0,0,0,"Badminton","Women's Doubles"
"Juan Ignacio MAEGLI AGUERO","Guatemala",24,1.84,84,"M",NA,"GUATEMALA CITY (GUA)",0,0,0,0,"Sailing","Men's Laser"
"Gabriel Maestre Perez","Venezuela",25,1.77,NA,"M",NA,"Barcelona (VEN)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Riccardo Maestri","Italy",18,1.76,72,"M",NA,"Milano (ITA)",0,0,0,0,"Swimming","Men's 4x200m Freestyle Relay"
"Mihaela Maevska","Bulgaria",21,1.72,NA,"F",1990-04-10,"Sofia (BUL)",0,0,0,0,"Gymnstcs-Rhy","Group All-Around"
"Tim Maeyens","Belgium",30,1.85,85,"M",NA,"",0,0,0,0,"Rowing","Men's Single Sculls"
"Panagiotis Magdanis","Greece",21,1.75,71,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Double Sculls"
"Ahmed Magdy","Egypt",22,1.72,68,"M",1989-09-12,"",0,0,0,0,"Football","Men's Football"
"Raghd Magdy","Egypt",29,1.69,67,"F",1983-07-03,"IRAQ (IRQ)",0,0,0,0,"Table Tennis","Women's Team"
"Chloe Magee","Ireland",23,1.65,60,"F",NA,"LETTERKENNY",0,0,0,0,"Badminton","Women's Singles"
"Jessica Mager","Germany",24,1.69,57,"F",1988-01-06,"SOLINGEN (GER)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"Marouen Maggaiz","Tunisia",29,1.91,105,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Maurren Higa Maggi","Brazil",36,1.73,61,"F",NA,"SAO CARLOS (BRA)",0,0,0,0,"Athletics","Women's Long Jump"
"Rasmus Magi","Estonia",20,1.88,74,"M",1992-04-05,"Tartu (EST)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"Fantu Magiso","Ethiopia",20,1.78,60,"F",1992-09-06,"HOSAENA (ETH)",0,0,0,0,"Athletics","Women's 800m"
"Gianluca Maglia","Italy",23,1.94,77,"M",1988-12-12,"Catania (ITA)",0,0,0,0,"Swimming","Men's 4x200m Freestyle Relay"
"Karlha Magliocco","Venezuela",26,1.57,NA,"F",1986-08-03,"CIUDAD BOLIVAR (VEN)",0,0,0,0,"Boxing","Women's Fly (51kg)"
"Filippo Magnini","Italy",30,1.88,80,"M",1982-02-02,"Pesaro (ITA)",0,0,0,0,"Swimming","Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
"James Magnussen","Australia",21,1.95,90,"M",1991-11-04,"PORT MACQUARIE (AUS)",0,1,0,1,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
"Jamaladdin Magomedov","Azerbaijan",23,1.85,110,"M",NA,"MAKHACHKALA (RUS)",0,0,0,0,"Wrestling","Men's 120kg Freestyle"
"Emily Maguire","Great Britain",24,1.69,61,"F",NA,"Glasgow (GBR)",0,0,0,0,"Hockey","Women's Hockey"
"Lindsey Maguire","Great Britain",30,1.87,76,"F",NA,"",0,0,0,0,"Rowing","Women's Eight"
"Ali Hasan Mahboob","Bahrain",30,1.75,70,"M",NA,"KENYA (KEN)",0,0,0,0,"Athletics","Men's 10,000m"
"Ben Maher","Great Britain",29,1.87,68,"M",NA,"Enfield (GBR)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, TRIPPLE X"
"Renjith Maheshwary","India",26,NA,NA,"M",NA,"CHANNANIKAD (IND)",0,0,0,0,"Athletics","Men's Triple Jump"
"Salma Mahmoud El Said Mohamed","Egypt",20,1.55,NA,"F",1991-01-10,"GIZA (EGY)",0,0,0,0,"Gymnstcs-Art","Women's Qualification"
"Salma Mahran","Egypt",22,1.7,60,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"Maziah Mahusin","Brunei Darussalam",19,1.63,51,"F",NA,"BANDAR SERI BEGAWAN (BRU)",0,0,0,0,"Athletics","Women's 400m"
"Qiong Mai Maitituersun","People's Republic of China",24,1.78,NA,"M",NA,"XINJIANG (CHN)",0,0,0,0,"Boxing","Men's Welter (69kg)"
